ID,Prediction
1,0.16511405
2,0.0360461
3,0.16251716
4,0.15900385
5,0.040516872
6,0.031253435
7,-0.029984735
8,0.4197418
9,0.4546575
10,0.60377413
11,0.023731867
12,-0.008615045
13,0.4365291
14,0.80760485
15,0.0035295687
16,0.7594505
17,0.06726927
18,0.7453542
19,0.6762457
20,0.11805198
21,0.30344644
22,0.2898937
23,0.85305935
24,0.78659636
25,0.010111325
26,0.4076138
27,0.061357535
28,0.02377058
29,-0.021179294
30,0.28770074
31,-0.02059215
32,0.01820942
33,0.005296908
34,0.008910839
35,0.16221175
36,0.16775618
37,-0.014665048
38,0.16985463
39,0.21337867
40,0.33104056
41,0.83317596
42,-0.025281755
43,0.833801
44,0.28521273
45,0.000486712
46,-0.0029650726
47,-0.0014694248
48,0.48409986
49,0.046964917
50,0.13035381
51,-0.004437281
52,0.039420027
53,0.55925363
54,0.46542692
55,0.6550489
56,0.3356497
57,-0.0028278665
58,0.21688081
59,0.38696307
60,0.49025753
61,-0.004359424
62,0.82425326
63,0.1476759
64,0.008000344
65,0.0074044066
66,0.04338206
67,0.9254758
68,0.20603874
69,0.00089062913
70,0.036419112
71,-0.0014694248
72,0.5681427
73,0.010242568
74,0.07351508
75,0.7105626
76,-0.010048686
77,-0.030108541
78,0.04533224
79,0.6873118
80,0.001729145
81,0.15239535
82,0.01629883
83,-0.002887216
84,-0.010677638
85,0.23988217
86,0.9253633
87,0.09517525
88,-0.0029650726
89,0.20113716
90,0.6751002
91,0.5921472
92,0.83323514
93,0.04026392
94,0.01820942
95,0.23711632
96,0.6762457
97,-0.005961758
98,0.0015057025
99,0.15239535
100,0.19029613
101,0.74908245
102,0.16985463
103,0.11645505
104,0.574018
105,0.77752686
106,-0.015348861
107,0.6609563
108,0.011670672
109,0.48602575
110,0.2872766
111,0.030724416
112,0.022116428
113,0.005816072
114,0.073496714
115,0.430147
116,0.13316199
117,0.000486712
118,-0.009758966
119,0.04338206
120,0.038237385
121,0.8496726
122,0.09534327
123,0.8128589
124,0.29659173
125,1.0208749
126,-0.020393938
127,0.3071374
128,0.36414674
129,0.29690102
130,0.174295
131,0.6820631
132,0.18665928
133,0.6489525
134,0.6280537
135,0.10283004
136,0.020288462
137,0.0016512882
138,-0.014665048
139,0.18464762
140,0.0021352177
141,0.2608423
142,0.0360461
143,0.010242568
144,0.2581803
145,0.08332701
146,0.5711471
147,0.10424434
148,0.07474363
149,0.71376765
150,-0.009011908
151,0.48832282
152,0.54266584
153,0.15900385
154,0.027117947
155,0.50643
156,0.5577603
157,0.21688081
158,0.006212314
159,-0.0029650726
160,0.385715
161,0.8845197
162,0.46071517
163,-0.010734871
164,0.01955011
165,-0.0066612395
166,0.5770162
167,0.29690102
168,0.092896715
169,0.002774696
170,0.026292887
171,0.86482185
172,0.0021352177
173,0.29690102
174,-0.014665048
175,0.09134578
176,0.38502684
177,0.08404424
178,0.2960249
179,0.01767183
180,0.0360461
181,0.5711471
