ID,Prediction
1,0.15354446
2,0.02660317
3,0.11179826
4,0.09802587
5,0.027207939
6,0.0800364
7,-0.009921613
8,0.47527182
9,0.3616828
10,0.581275
11,0.03958635
12,0.04980625
13,0.42563102
14,0.90071356
15,0.00479874
16,0.7094898
17,0.06675439
18,0.7376541
19,0.7279771
20,0.044071052
21,0.18349984
22,0.049560573
23,0.9085327
24,0.79476494
25,0.009290094
26,0.33161858
27,0.017786575
28,0.007877724
29,-0.0036903054
30,0.34621626
31,-0.009058832
32,0.013960238
33,-0.009239376
34,-0.001393737
35,0.22173259
36,0.23009358
37,-0.0030293406
38,0.1506637
39,0.11135501
40,0.46259052
41,0.80075586
42,0.006447873
43,0.763774
44,0.19985978
45,0.0033253776
46,-0.00049130723
47,-0.009166478
48,0.4703899
49,0.04052695
50,0.09296374
51,-0.0010923415
52,0.045187693
53,0.7881442
54,0.42349187
55,0.96504474
56,0.3553163
57,0.08538851
58,0.27689746
59,0.41106167
60,0.48448265
61,-0.00056988996
62,0.86532956
63,0.14262335
64,0.00669112
65,0.0061400365
66,0.05414071
67,0.9888918
68,0.090040155
69,-0.0015459999
70,0.020719344
71,-0.003501841
72,0.61139077
73,0.005599668
74,0.06411817
75,0.8064152
76,-0.0038641137
77,-0.008264667
78,0.16012037
79,0.7131263
80,-0.002929543
81,0.1292776
82,0.02737791
83,0.0058756247
84,-0.00060218596
85,0.7001354
86,0.91696393
87,0.07386249
88,-0.00049130723
89,0.13437247
90,0.78283805
91,0.7895596
92,0.84979624
93,0.009919828
94,0.009689524
95,0.5379021
96,0.68118554
97,0.0005509651
98,0.00075203035
99,0.1196086
100,0.04435678
101,0.7503911
102,0.1506637
103,0.035730537
104,0.5498901
105,0.82008827
106,0.0057170363
107,0.91121626
108,-0.001177433
109,0.54835796
110,0.17202522
111,0.011143591
112,0.022702588
113,0.0080852015
114,-0.012324268
115,0.4768607
116,0.10557041
117,0.0042087073
118,-0.0012155324
119,0.04331084
120,0.008545494
121,0.9024229
122,0.01492882
123,0.8982106
124,0.400028
125,1.0143269
126,-0.0009767717
127,0.32756072
128,0.3760771
129,0.32914332
130,0.16721909
131,0.8445647
132,0.15477096
133,0.6179969
134,0.72223836
135,0.07690776
136,0.011872689
137,-0.0014821368
138,-0.002834506
139,0.04979647
140,0.0023616438
141,0.20350529
142,0.026684592
143,0.005599668
144,0.22863187
145,0.07195054
146,0.59302056
147,0.0471776
148,0.09676909
149,0.8709986
150,0.0017370611
151,0.44022357
152,0.5830447
153,0.10191748
154,-0.00480753
155,0.5508696
156,0.6059949
157,0.2625785
158,0.0054679783
159,0.002957905
160,0.3451369
161,0.8564829
162,0.428521
163,-0.0012718876
164,0.0018671857
165,0.010528975
166,0.45918086
